,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
615,PB2 (June-December 2015),E134,"Environment, Health & Safety",Plant American or Chinese Chestnut trees and fruit trees,"Chestnut trees once graced Cambridge Streets before a fungus destroyed almost all Chestnut trees in the northeast. New hybrids have been developed to withstand the fungus. It would be nice to see fruit trees planted such as the Roxbury Russet apple, a local variety. ",Budget Delegates did not rank this as a high priority project.  100 new trees will be planted as a result of the first PB process.,Linda Levine,"citywide
(42.367024, -71.1058529999999)",42.367024,-71.10585299999991,"American,trees,Chestnut,Chinese,fruit trees"
616,PB2 (June-December 2015),E135,"Environment, Health & Safety",To put trees back in Kendall Sq.,Due to construction many trees were removed. There should be more trees to improve the ambiance and provide shade.,Budget Delegates did not rank this as a high priority project.  100 new trees will be planted as a result of the first PB process.,CHA Summer Literacy Program,"Main Street
(42.3624769999999, -71.085828)",42.3624769999999,-71.085828,"trees,Kendall Sq"
617,PB2 (June-December 2015),E138,"Environment, Health & Safety",A shade tree for the library garden at Collins library ,Many people enjoy the outdoor space at the library but it is too hot in the afternoon and during the summer to enjoy the garden. During renovation a tree was lost & it would be fitting to replace it with the added benefit of shade. ,Budget Delegates did not rank this as a high priority project.  100 new trees will be planted as a result of the first PB process.,Lise F.,"64 Aberdeen Avenue
(42.3768869999998, -71.1468689999999)",42.3768869999998,-71.14686899999991,"shade tree,library garden,Collins library"
618,PB2 (June-December 2015),E141,"Environment, Health & Safety",Adequate watering and care of street trees especially newly planted ones,The city plants many new trees and doesn't take enough care of them so a great many die. ,Not eligible: not a capital project (operating expense.),Angelica Harter,"citywide
(42.367024, -71.1058529999999)",42.367024,-71.10585299999991,"watering,care,street trees,ones"
619,PB2 (June-December 2015),E142,"Environment, Health & Safety",Purchase a watering truck for city trees,"Last fiscal year we purchased 100 trees in addition to several hundred already on the planting list. Many of those trees will be in areas with easy access to water. In order to protect our tree asset, we need to ensure they get lots of water when they are most vulnerable. ",Budget Delegates did not rank this as a high priority project.  ,minka vanBeuzekom,"citywide
(42.367024, -71.1058529999999)",42.367024,-71.10585299999991,"truck,city trees"
620,PB2 (June-December 2015),P001,"Parks, Recreation & Education",To provide music studio equipment at youth centers,There is not much music equipment available & by providing studio equipment to at least two youth centers on each side of the city. Youth would have another recreational outlet. ,This project made it to the ballot but did not win funding.,CHA Summer Literacy Program,"119 Windsor Street
(42.3646979999999, -71.0966449999999)",42.3646979999999,-71.09664499999991,"music studio equipment,youth centers"
621,PB2 (June-December 2015),P002,"Parks, Recreation & Education",To build a rooftop garden @ the Russell Youth Center,This would be a great area for the community to maintain and grow a garden. ,"Budget Delegates did not rank this as a high priority project, because the weight of the garden, roof shape, and access to the roof posed feasibility problems.",Russell Youth Center,"680 Huron Avenue
(42.380363, -71.1531279999999)",42.380363,-71.15312799999991,"rooftop garden,@,Russell Youth Center"
622,PB2 (June-December 2015),P003,"Parks, Recreation & Education",Sound proof music studio and dance studio at Gately,This will make our space more creative and foster the artistic advancement of our youth. ,A project to build music studios at three Youth Centers made it to the ballot but did not win funding.,My City My Voice (Gately),"Gately Youth Center
(42.3917709999999, -71.1281)",42.3917709999999,-71.1281,"music studio,dance studio,Gately"
623,PB2 (June-December 2015),P004,"Parks, Recreation & Education",Create an amphitheater and technology at Gately that would make us the movie center of the city,this will bring the city together.,Budget Delegates did not rank this as a high priority project.  ,My City My Voice (Gately),"Gately Youth Center
(42.3917709999999, -71.1281)",42.3917709999999,-71.1281,"amphitheater,technology,movie center,Gately,city"
624,PB2 (June-December 2015),P005,"Parks, Recreation & Education",Rooftop Garden at Gately Youth Center,it will beautify the city.,"Budget Delegates did not rank this as a high priority project, because the weight of the garden, roof shape, and access to the roof posed feasibility problems.",My City My Voice (Gately),"Gately Youth Center
(42.3917709999999, -71.1281)",42.3917709999999,-71.1281,"Rooftop Garden,Gately Youth Center"
625,PB2 (June-December 2015),P008,"Parks, Recreation & Education",Re-painting interior and exterior of Frisoli Youth Center,The center is in need of upgrading.,"Budget Delegates did not rank this as a high priority project, since the center was repainted in the last year and a half.",Frisoli Girls Camp,"61 Willow Street
(42.371771, -71.092166)",42.371771,-71.092166,"interior,exterior,Frisoli Youth Center"
626,PB2 (June-December 2015),P009,"Parks, Recreation & Education",New curtains in the Frisoli Youth Center,It covers the windows when we want light in the kitchen. ,Budget Delegates did not rank this as a high priority project. A related project to renovate the kitchen at the Frisoli Youth Center made it to the ballot but did not win funding.,Jayclen J.,"61 Willow Street
(42.371771, -71.092166)",42.371771,-71.092166,"curtains,Frisoli Youth Center"
627,PB2 (June-December 2015),P010,"Parks, Recreation & Education",To upgrade Frisoli Youth Center w/ new items,"The Frisoli Center is in need of general upgrading/modernization. Items requested are: New couch, new stereo (microphone/PA system), new foosball table, computers, keyboards, better chairs & window repair.)",Two projects involving the Frisoli Youth Center made it to the ballot but did not win funding - one to renovate the kitchen and one to install a music studio and equipment. ,Frisoli Girls Camp,"61 Willow Street
(42.371771, -71.092166)",42.371771,-71.092166,"Frisoli Youth Center w,items"
628,PB2 (June-December 2015),P011,"Parks, Recreation & Education",To provide better fitness equipment in youth centers,Much of the equipment in centers are donated & are in need of replacement. ,"Budget Delegates did not rank this as a high priority project, because Youth Centers already contain fitness equipment, some of which was updated within the last 2 years.",CHA Summer Literacy Program,"51 Inman Street
(42.370727, -71.102642)",42.370727,-71.102642,"fitness equipment,youth centers"
629,PB2 (June-December 2015),P012,"Parks, Recreation & Education",To build more indoor basketball courts & extend hours for youth centers,"In the winter there is a need for more indoor basketball courts. Also, extended hours for youth would provide greater resources for kids to have things to do. ","Not eligible. Extending hours for youth centers would require operating funds and building more indoor basketball courts would exceed $600,000.",CHA Summer Literacy Program,"70 Rindge Avenue
(42.392702, -71.1286029999999)",42.392702,-71.1286029999999,"basketball courts,youth centers"
630,PB2 (June-December 2015),P041,"Parks, Recreation & Education",Wading area similar to Frog Pond,need more public places to swim and get together. It should be at Cambridge Commons.,Budget Delegates did not rank this as a high priority project.,Girls in Action,"Cambridge Common
(42.3764109999999, -71.1209589999999)",42.3764109999999,-71.1209589999999,"area,Frog Pond"
631,PB2 (June-December 2015),P015,"Parks, Recreation & Education",To retrofit old buildings for youth centers,Instead of letting old buildings to continue to fall into disrepair they should be retrofitted for youth purposes like youth centers or areas for youth sports. ,Not eligible: creating a new youth center or arena would require operating funds to hire staff to work there.,Russell Youth Center,"Western Avenue
(42.3652799999999, -71.106121)",42.3652799999999,-71.106121,"buildings,youth centers"
632,PB2 (June-December 2015),P016,"Parks, Recreation & Education","Teen center in North Cambridge, near Fresh Pond mall","A positive environment for Cambridge youth (teens) to go have art, sports, etc.  Another center is needed, a safe environment for young teens to go afterschool and on weekends.","Not eligible: would require more than $600,000 to build a new youth center.",Semira E. Rose,"Concord Lane
(42.388668, -71.142442)",42.388668,-71.142442,"Teen center,North Cambridge,mall,Fresh Pond"
633,PB2 (June-December 2015),P017,"Parks, Recreation & Education",A game center/arcade at Fresh Pond Mall,This would be fun for the kids.,Not eligible: Fresh Pond Mall is private property.,Kaleb and Tory,"Fresh Pond Mall
(42.389817, -71.1413309999999)",42.389817,-71.14133099999991,"game center/arcade,Fresh Pond Mall"
634,PB2 (June-December 2015),P018,"Parks, Recreation & Education",To purchase a summer shuttle for youth,Many youth that attend summer programs must provide their own transportation out of pocket. A summer shuttle would allow them to have safe and free travel to various points in the city such as youth centers.,Not eligible: would require operating funds to hire drivers and maintain the vehicle.,CHA Summer Literacy Program,"Broadway
(42.3684719999999, -71.100003)",42.3684719999999,-71.100003,"summer shuttle,youth"
635,PB2 (June-December 2015),P019,"Parks, Recreation & Education",To purchase a shuttle for the high school,Students need to be able to get to the high school and there are not a lot of bus routes to the HS. If there could be a shuttle that picks up students on a revolving base close to major T stops it would help students greatly.,Not eligible: would require operating funds to hire drivers and maintain the vehicle.,Russell Youth Center,"459 Broadway
(42.373955, -71.112504)",42.373955,-71.112504,"shuttle,high school"
636,PB2 (June-December 2015),P020,"Parks, Recreation & Education",A building of playstations and Xboxes and games at Russell Field,To give people the gift to come together and socialize with games more often.  ,Budget Delegates did not rank this as a high priority project.,Santha S.,"Alewife Linear Park
(42.3955119999999, -71.1377959999999)",42.3955119999999,-71.13779599999991,"building,playstations,Xboxes,games,Russell Field"
637,PB2 (June-December 2015),P022,"Parks, Recreation & Education",To build a sports complex in Cambridge,This would provide an area for all residents in Cambridge to come and play a sport that they may enjoy. It would offer indoor leagues etc. & would be a great indoor area for the winter. ,"Not eligible: cost would exceed $600,000.",Russell Youth Center,"Memorial Drive
(42.3714829999999, -71.1245289999999)",42.3714829999999,-71.12452899999991,"sports complex,Cambridge"
638,PB2 (June-December 2015),P023,"Parks, Recreation & Education",Outdoor Exercise equipment,It would be a health benefit to people of all ages. An outdoor gym similar to the ones along the Charles River. It would help make this park even better!,A project to install outdoor exercise equipment in Danehy Park and three other parks made it to the ballot but did not win funding.,Levi Tofias,,,,Exercise equipment
639,PB2 (June-December 2015),P024,"Parks, Recreation & Education",Outdoor Gyms at Open parks,Fitness is crucial for a healthy society and use of open space to provide that salutary benefit to our people will give citizens the option of increasing their health even in the middle of an evening stroll. The exercise equipment could also be sculptures that move to make them an art piece as well.,A project to install outdoor exercise equipment in Danehy Park and three other parks made it to the ballot but did not win funding.,Romaine Waite,,,,"Outdoor Gyms,parks"
640,PB2 (June-December 2015),P025,"Parks, Recreation & Education",Adult circuit training equipment +instructional /health signs at Sennott Park ,"Ideal central location for open access adult fitness circuit. Park is heavily utilized by local neighborhood residents and schools during recess hours. Would add to function and appeal of park across all ages, growing health and community. ",A project to install outdoor exercise equipment in Danehy Park and three other parks made it to the ballot but did not win funding.,Elizabeth Liss,"Sennott Park
(42.368309, -71.10021)",42.368309,-71.10021,"circuit training equipment,health signs,Sennott Park"
641,PB2 (June-December 2015),P026,"Parks, Recreation & Education","Playground for adults. Like a regular playground, but equipment is bigger/taller/etc.",Adults need respite from the monotony of the 9-5 soul-crushing existence. (And keep teenagers off drugs.),"Budget Delegates ranked this as a high priority project, but it did not pass final vetting by City staff. There was a City Council order in October 2014 related to the feasibility of creating an adult playground, to which the City responded that we have “aimed for creative design that encourages multi- and inter-generational play” and that “the City has also strategically located elements that bring people of different age groups together, rather than focusing exclusively on one age category.” ",Alissa,,,,"Playground,adults,playground,equipment"
642,PB2 (June-December 2015),P042,"Parks, Recreation & Education",An indoor/outdoor pool for summer and winter,Our community is very dull and boring for us and we would like a little for summer and winter,Not feasible due to operating costs.,Ayanna Mansecot,"Walden Square Road
(42.3896269999999, -71.130644)",42.3896269999999,-71.13064399999999,pool
643,PB2 (June-December 2015),P027,"Parks, Recreation & Education",Improve/Expand Outdoor Stretching & Exercise Equipment at Danehy Park,"Danehy Park is already one of our best parks in Cambridge. We currently have a rudimentary exercise area already designated near the parking lot and between the soccer field and running track (approaching from New Street).
 We suggest improving this area by installing new and additional equipment to facilitate stretching, pull-ups, push-ups, and other body-weight fitness exercises for adults. Major cities in the U.S. have already embraced this idea (Chicago, Los Angeles, Atlanta). 
It would be great to encourage fitness for adults in the community with this improvement!",A project to install outdoor exercise equipment in Danehy Park and three other parks made it to the ballot but did not win funding.,,"Danehy Park
(42.389118, -71.132862)",42.389117999999996,-71.132862,"Expand Outdoor Stretching & Exercise Equipment,Danehy Park"
644,PB2 (June-December 2015),P028,"Parks, Recreation & Education",Parcourse set for exercise & stretching at Sennott Park,"Sennott is the only large park in Area 4/The Port. Exercise & stretching is needed for all age groups, young to elderly, and for the entire spectrum of abled and physically challenged people. This project would contribute to the health and wellness of the community.",A project to install outdoor exercise equipment in Danehy Park and three other parks made it to the ballot but did not win funding.,Richard Goldberg,"Sennott Park
(42.368309, -71.10021)",42.368309,-71.10021,"Parcourse,exercise,Sennott Park"
645,PB2 (June-December 2015),P029,"Parks, Recreation & Education",Outdoor parcourse (challenging fitness trail) located in the portion of Greene Rose Park along Broadway,"Similar to the parcourse along Charles River at Magazine Beach, this parcourse would challenge people's fitness. There are already benches along the park so participants can be cheered on. Many people jog near Green Rose park and this could be one more stop along the way. ",Budget Delegates did not rank this as a high priority project.,Minka vanBeuzekom,"Greene Rose Heritage Park
(42.3659699999999, -71.094903)",42.3659699999999,-71.094903,"parcourse,fitness trail,portion,Greene Rose Park,Broadway"
646,PB2 (June-December 2015),P030,"Parks, Recreation & Education",To build a stunt park for parkour,This would provide an alternative recreation option for residents of all ages. ,Budget Delegates did not rank this as a high priority project.,CHA Summer Literacy Program,"Charles Park
(42.366446, -71.0764479999999)",42.366446,-71.0764479999999,"stunt park,parkour"
647,PB2 (June-December 2015),P031,"Parks, Recreation & Education",To build a rock climbing wall in Danehy Park,This would better enhance the park & provide an alternative recreation option.,Budget Delegates did not rank this as a high priority project and were concerned about liability issues.,CHA Summer Literacy Program,"Field Street
(42.38696, -71.1376139999999)",42.386959999999995,-71.1376139999999,"rock climbing wall,Danehy Park"
648,PB2 (June-December 2015),P032,"Parks, Recreation & Education","Enhance ""playability"" in unusual places (e.g., trampolines in sidewalks, swings at bus stops, etc.)","Play has dozens of social, health, and economic benefits.  Scores of other cities have been honored as Playful Cities, but not Cambridge (see http://kaboom.org/playability/playful_city_usa/communities).   That same website provides a good summary about why play matters, and what could be done to increase playability.  This budget fund of $600k could be a terrific start.",Budget Delegates did not rank this as a high priority project.,BobbyM,,,,"playability,places,trampolines,sidewalks,bus stops,swings"
649,PB2 (June-December 2015),P034,"Parks, Recreation & Education",Redo basketball hoops & courts,Many basketball hoops are in need of repair throughout the city. In locations such as Columbia Park & Area IV specifically.,Budget Delegates did not rank this as a high priority project.,CHA Summer Literacy Program,"Broadway
(42.3684719999999, -71.100003)",42.3684719999999,-71.100003,"basketball hoops,courts"
650,PB2 (June-December 2015),P035,"Parks, Recreation & Education",To have reusable sneakers at all ballcourts,people sometimes need better shoes,Budget Delegates did not rank this as a high priority project.,Jayla Walker,"70 Rindge Avenue
(42.392702, -71.1286029999999)",42.392702,-71.1286029999999,"sneakers,ballcourts"
651,PB2 (June-December 2015),P036,"Parks, Recreation & Education",Skate park at Dana Park,For exercise,Budget Delegates did not rank this as a high priority project. A skate park is already being built in East Cambridge. ,Will C.,"McTernan Street
(42.3613789999999, -71.1077499999999)",42.3613789999999,-71.10774999999991,"Skate park,Dana Park"
652,PB2 (June-December 2015),P037,"Parks, Recreation & Education",Volleyball court at Danehy (or another park),"There isn't a public court in the whole city. It could be sand or pavement, with a sturdy net for 3-season usage.  The VB program is pretty big at CRLS, but kids can't use the gym to practice or play pickup since it is reserved for leagues.",This project made it to the ballot in but did not win funding. ,Suzanne,"Danehy Park
(42.389118, -71.132862)",42.389117999999996,-71.132862,"Volleyball court,park,Danehy"
653,PB2 (June-December 2015),P038,"Parks, Recreation & Education",A Learn-to-Bike park,"It would be great to have a place for kids to learn to bike,  away from busy streets and busy playgrounds. ",Budget Delegates did not rank this as a high priority project.,Caroline White,,,,park
654,PB2 (June-December 2015),P039,"Parks, Recreation & Education",Skating Rink in the Winter,This would create fun recreational activities for the citizens of our community. ,Not feasible due to operating costs.,My City My Voice (Gately),,,,"Skating Rink,Winter"
655,PB2 (June-December 2015),P040,"Parks, Recreation & Education",To build a ice/roller skating rink,This would be another fun alternative & popular form of recreation in the city.,Not feasible due to operating costs.,Russell Youth Center,"Fresh Pond Bikeway
(42.3834319999999, -71.1439649999999)",42.3834319999999,-71.14396499999991,ice/roller skating rink
656,PB2 (June-December 2015),P043,"Parks, Recreation & Education",A lake in Cambridge at Danehy,Provide swimming options,Not feasible due to unsuitability of site (Danehy was built on a landfill) and cost.,Will Chun,"Sherman Street
(42.387095, -71.132587)",42.387095,-71.132587,"lake,Cambridge,Danehy"
657,PB2 (June-December 2015),P044,"Parks, Recreation & Education",Open Air Natural Lap Pool with Open Access,"A single lane open air lap pool using bio-filtration, similar to this design: https://www.youtube.com/watch?v=7JoQthEBl6U","Not feasible due to operating costs, plus Magazine Beach is DCR property.",SK,"Magazine Beach
(42.3606619999999, -71.1093709999999)",42.3606619999999,-71.10937099999991,"Open Air Natural Lap Pool,Open Access"
658,PB2 (June-December 2015),P045,"Parks, Recreation & Education",To build more pools,"There is a need for more pools, especially in West Cambridge. The commute to a pool for some residents is difficult. ",This project would be too expensive and would require operating funds.,Russell Youth Center,"Lawn Court
(42.3783189999999, -71.1529299999999)",42.3783189999999,-71.1529299999999,pools
659,PB2 (June-December 2015),P046,"Parks, Recreation & Education",Cinder running track around the Fresh Pond reservoir,"Many people run on the edges of the paved path and need to negotiate tree roots, poison ivy and crumbling asphalt. ",Budget Delegates did not rank this as a high priority project.,Susan Fox,"Concord Avenue
(42.3852419999999, -71.1374129999999)",42.3852419999999,-71.13741299999991,"Cinder running track,reservoir,Fresh Pond"
660,PB2 (June-December 2015),P047,"Parks, Recreation & Education",To add a net to the top of the tennis wall at the Bergin Park Tennis Courts,They recently closed off the fence to create a dog park behind the tennis courts. Yea dogs! But now there is no way to retrieve tennis balls that accidentally go over the wall. Adding a net would prevent  people from having to go on the train tracks to retrieve their lost balls. It is one of the few public courts in Cambridge and CLRS uses  for practice so it gets a lot of use every day.,Budget Delegates did not rank this as a high priority project.,Kelly ,"Pemberton Street
(42.3900909999999, -71.127752)",42.3900909999999,-71.127752,"net,top,tennis wall,Bergin Park Tennis Courts"
661,PB2 (June-December 2015),P060,"Parks, Recreation & Education","Create a ""Lawn on D"" at the bottom of Magazine St and fix the stone bldg there",it is a beautification project of a stone bldg. that needs renovation and the addition of a Lawn on D type facility there would also provides Cambridge residents with a new fun outdoor space. ,Budget Delegates did not rank this as a high priority project.,Janet Borron,,,,"bottom,Lawn on D,bldg,Magazine St"
662,PB2 (June-December 2015),P048,"Parks, Recreation & Education",Free Tennis Programs,"I would like to propose free tennis year-around programs for Youth and Adults. There are quite a number of tennis courts throughout Cambridge that go unused.  Having free tennis programs for youth can introduce them to a new sport at an early age.  Having programs for Adults and Seniors would help them to ""keep moving.""  There are courts on Harvard Street and Area IV that are ideal for these type of programs for kids.  The additional courts in North Cambridge, etc would give citywide access to tennis programs and make for a healthier city.  The Coordinator and the Instructors would be paid a stipend.  Use of equipment during class would be included in the program.  Courts and sense of Community are FREE!",Budget Delegates did not rank this as a high priority project.  Tennis programs would be an operating expense.,Pamela H.,"Harvard Street
(42.368153, -71.100885)",42.368153,-71.10088499999999,Tennis Programs
663,PB2 (June-December 2015),P049,"Parks, Recreation & Education",To provide more soccer nets in parks,Many parks have areas to play soccer but do not have any soccer nets. ,Budget Delegates did not rank this as a high priority project.,CHA Summer Literacy Program,"877 Cambridge Street
(42.372622, -71.091566)",42.372622,-71.091566,"soccer nets,parks"
664,PB2 (June-December 2015),P050,"Parks, Recreation & Education",Mini golf on the common!,"It would be so cool! Mini golf is fun, it's all ages, it's easy to play and easy to score. Someone suggested it be Cambridge-themed, and that's a great idea! Maybe history of Cambridge themed, or famous people of Cambridge themed, etc. Whatever the theme is, having a fun, relaxing game set up in the center of Cambridge would be a great draw for locals, students, visitors, etc. Also, golf is a sport/game that many people don't get to play often, but is actually quite instructive wrt to geometry (trajectory), hand eye coordination, and assessing for and planning strategy (knowing par, how can I achieve it, etc). These are great skills to have, that we rarely have a chance to develop in the normal course of our day.",Budget Delegates did not rank this as a high priority project.,Ebi Poweigha,"Cambridge Common
(42.3764109999999, -71.1209589999999)",42.3764109999999,-71.1209589999999,"golf,common"
665,PB2 (June-December 2015),P051,"Parks, Recreation & Education",Portable/modular recreation for all ages:  ping pong tables and mini golf,"This would support City commitment to recreation for all ages and could be moved to different locations as needed or on a pop-up basis.  Ideally, the mini-golf would be artful and Cambridge-themed, not an out-of-box design but portable/modular games already exist (used on cruise ships and for special events).  Ping pong could be moved to different locations because existing tables are fixed in single locations and hard to access for most City residents.",Budget Delegates did not rank this as a high priority project.  There were questions about project feasibility (who would be responsible for maintenance and security of the items).,pkut,,,,"recreation,ages,golf,ping pong tables"
666,PB2 (June-December 2015),P052,"Parks, Recreation & Education",More swings at Danehy Park (6 more),A lot of people use the swings but there aren't enough.,Budget Delegates did not rank this as a high priority project since there are already swings in the park.,Luawichka and Schneider,,,,"swings,Danehy Park"
667,PB2 (June-December 2015),P053,"Parks, Recreation & Education",Add one additional picnic table and add three benches with backs for Sennott park,The table and benches are usually filled,Budget Delegates did not rank this as a high priority project.,Gerald bergman,"Sennott Park
(42.368309, -71.10021)",42.368309,-71.10021,"picnic table,benches,backs,Sennott park"
668,PB2 (June-December 2015),P067,"Parks, Recreation & Education",Renovate Lopez Street Park (water feature for children needed),It is the only park that I know of that doesn't have a sprinkler for the children to cool off.,Budget Delegates did not rank this as a high priority project.,Anonymous,"Lopez Street Park
(42.361535, -71.1051099999999)",42.361534999999996,-71.10510999999991,"water feature,Renovate Lopez Street Park,children"
669,PB2 (June-December 2015),P054,"Parks, Recreation & Education",Outdoor Fire Pits (aka Artful Gazebo with fire) (aka Winter Oasis),"Cambridge has three problems:
1. Winters are long and hard, and there are minimal public spaces to seek respite
2. The cities public spaces are uninspiring, with minimal art nor even good design taste that has culture relevance or meaning. It makes us feel detached from our space, like robots living for function rather than quality
3. We are heads down much of the time, and need more contexts to build relationships with our neighbors and community.

Everyone want to get warm in the winter, and an outdoor fire pit will bring people together to do just that. If designed artfully, it will make people feel good to look at and be inside of. The literal and figurative warmth will make people feel good, and naturally we will open up to those around us, both in the gazebo and throughout the rest of our day.  The winter oasis for us to recharge, refill, and reconnect with eacthother.",Not feasible due to operating costs. ,David Schafran,"714 Massachusetts Avenue
(42.365949, -71.105018)",42.365949,-71.105018,"fire,Outdoor Fire Pits,Artful Gazebo,Winter Oasis"
670,PB2 (June-December 2015),P055,"Parks, Recreation & Education","Grills, Tables, Picnic Area for Donnelly Field",Donnelly Field is a Cambridge treasure.  A few picnic tables and permanent grills could make it an even more inviting place (similar to Danehy). Larger groups could require permits that can help offset maintenance costs.,Budget Delegates did not rank this as a high priority project for picnic tables. Adding grills requires operating funds for staff to monitoring and maintenance.,,"Donnelly Field
(42.3702479999999, -71.0922079999999)",42.3702479999999,-71.0922079999999,"Grills,Tables,Picnic Area,Donnelly Field"
671,PB2 (June-December 2015),P056,"Parks, Recreation & Education",Grills in the park,"There are picnic tables in this very popular neighborhood park, but there are no grills. If there were grills, families and groups could grill while playing in the park or on the fields, and watch kickball or softball or baseball.",Adding grills requires operating funds for staff to monitoring and maintenance.,Caroline,,,,"Grills,park"
672,PB2 (June-December 2015),P057,"Parks, Recreation & Education",Public grills in the Cambridge Common,Local area residents need a place to BBQ in the summer.,Adding grills requires operating funds for staff to monitoring and maintenance.,GPWCambridge,,,,"grills,Cambridge Common"
673,PB2 (June-December 2015),P061,"Parks, Recreation & Education",Public Space for community events with circular glow in the dark swings like Lawn on D ,"Create a multi purpose open space that utilizes Danehy Park better. Provide somewhere for people to come and meet and go to events, and improve Danehy Park",Budget Delegates did not rank this as a high priority project.,Girls in Action ,"Field Street
(42.38696, -71.1376139999999)",42.386959999999995,-71.1376139999999,"Public Space,community events,glow,Lawn,swings,D"
674,PB2 (June-December 2015),P063,"Parks, Recreation & Education",Build a public indoor playground,"so kids can still play and stay active during the long, cold winter.  It could be anywhere in Cambridge - it does not have to be in this location. ",Not feasible due to operating costs. ,Whit's Community Learning Center class,"River Street
(42.3635239999999, -71.1122009999999)",42.3635239999999,-71.1122009999999,playground
675,PB2 (June-December 2015),P064,"Parks, Recreation & Education",Developmentally appropriate playground equipment for children ages 1 - 3 years old,Current playground equipment makes it difficult for younger children to play safely among older siblings and friends. Toddlers are in a sensitive stage for movement and gross motor development. Enhancing St. Peter's playground specifically for toddlers would benefit the community at large.,"Budget Delegates ranked this as a high priority project, but it did not make the final cut for the ballot.",Munir Shivji,,,,"playground equipment,ages,children"
676,PB2 (June-December 2015),P065,"Parks, Recreation & Education",Parks for little toddlers,"Provide a safe place for little ones to play without getting hurt by other activities happening in the same area, especially in Hoyt Field","Budget Delegates ranked this as a high priority project, but it did not make the final cut for the ballot.",Girls in Action,"River Street
(42.3635239999999, -71.1122009999999)",42.3635239999999,-71.1122009999999,"Parks,toddlers"
677,PB2 (June-December 2015),P066,"Parks, Recreation & Education",New playground for the Amigos School,"In 2012, The Amigos School moved to Upton Street and inherited a playground, designed for pre-school aged children, which badly needs updating to be engaging  and suitable for a JK-8 school. ",Budget Delegates did not rank this as a high priority project.,Lyn Kardatzke,,,,"playground,Amigos School"
678,PB2 (June-December 2015),P090,"Parks, Recreation & Education",Kayak Storage Structure,Kayak Storage Structure for the Community with free kayak rentals for residents.,Location is State-owned property and thus not feasible.,SK,"Magazine Beach
(42.3606619999999, -71.1093709999999)",42.3606619999999,-71.10937099999991,Kayak Storage Structure
679,PB2 (June-December 2015),P068,"Parks, Recreation & Education",Add entrance and seating for soccer families,The grass fields adjoining the football field are used on weekends by local youth soccer leagues and for pickup games. Add a gate to the grass field will make the area easier to access. Adding some benches around the edge of the field will make the area better place for parents to sit and watch the kids play. ,Budget delegates did not rank this as a high priority project because seating already exists at the site.,,"Clifton Street
(42.3954359999999, -71.1372669999999)",42.3954359999999,-71.13726699999991,"entrance,seating,soccer families"
680,PB2 (June-December 2015),P069,"Parks, Recreation & Education",To provide more water features in parks for all ages,Especially in Columbia Park there is a need and desire for more water features. Sprinklers and various water features are of great enjoyment to all ages.,Budget Delegates did not rank this as a high priority project.,CHA Summer Literacy Program,"Columbia Street
(42.3649119999999, -71.0987559999999)",42.3649119999999,-71.09875599999991,"parks,water features,ages"
681,PB2 (June-December 2015),P071,"Parks, Recreation & Education",Lost & Found Boxes at all Parks & Playgrounds,"Whenever I visit any parks in Cambridge, I always find lost items left behind by previous visitors. My idea is to have a safe, secure, and readily identifiable box in each park where found items can be saved and lost items searched for. If it is not feasible to do this at all parks and playgrounds, then I would propose to do this at the 5 busiest locations throughout the City on a trial basis. Distinctive and practical designs for the Lost & Found boxes could be solicited through a crowd sourced design contest open to residents of all ages.",Budget Delegates did not rank this as a high priority project.,,"Waterhouse Street
(42.3774009999999, -71.1214039999999)",42.3774009999999,-71.1214039999999,"Lost & Found,Boxes,Playgrounds,Parks"
682,PB2 (June-December 2015),P072,"Parks, Recreation & Education",Gatorade fountains in Danehy Park,Joggers need energy when they feel like they will drop,Budget Delegates did not rank this as a high priority project (low feasibility). ,Beseleel B.,"Danehy Park
(42.389118, -71.132862)",42.389117999999996,-71.132862,"Gatorade fountains,Danehy Park"
683,PB2 (June-December 2015),P073,"Parks, Recreation & Education",Amphitheater at Danehy Park,"It would provide a space for educational, cultural, and community events.",Budget Delegates did not rank this as a high priority project due to the project's cost.  The project made it to the ballot during the first PB cycle but did not win funding.,Jonah Tauber,"Field Street
(42.38696, -71.1376139999999)",42.386959999999995,-71.1376139999999,"Amphitheater,Danehy Park"
684,PB2 (June-December 2015),P074,"Parks, Recreation & Education",To build an amphitheater in Danehy Park,"This would provide a place for various cultural events, music & other performances. ",Budget Delegates did not rank this as a high priority project due to the project's cost.  The project made it to the ballot during the first PB cycle but did not win funding.,CHA Summer Literacy Program,"Field Street
(42.38696, -71.1376139999999)",42.386959999999995,-71.1376139999999,"amphitheater,Danehy Park"
685,PB2 (June-December 2015),P075,"Parks, Recreation & Education",To provide public speakers with an auxiliary jack at parks,This would allow music to be played at parks. A curfew on time of use could be used & the maximum volume could be limited. ,Budget Delegates determined that this project was not feasible since there was no way to prevent theft of the speakers.,CHA Summer Literacy Program,"McTernan Street
(42.3613789999999, -71.1077499999999)",42.3613789999999,-71.10774999999991,"speakers,parks,jack"
